Province,District,ConstituencyNumber,ConstituencyName,CandidateName,Party,Symbol
LUSAKA,LUSAKA,082,MUNALI,SIPALO Thomas,UPND,Palm with raised thumb
LUSAKA,LUSAKA,189,MAKENI,CHANGWEREZA Chrisantius,IND,Scissors
LUSAKA,LUSAKA,189,MAKENI,CHIKWANDA Patrick,IND,Whistle
LUSAKA,LUSAKA,189,MAKENI,CHIYABA Sydney,DNP,Food on a plate
LUSAKA,LUSAKA,189,MAKENI,HACHOOMBWA Beene,UPND,Palm with raised thumb
LUSAKA,LUSAKA,189,MAKENI,HAKACHIMA Kavumbu,RP,An Orange Sack Bag
LUSAKA,LUSAKA,189,MAKENI,KALUBA Lucky,IND,Borehole
LUSAKA,LUSAKA,189,MAKENI,MANDALA Kululeko,IND,Nail
LUSAKA,LUSAKA,189,MAKENI,MULENGA Harriet B,SP,A Crossed Shovel and Axe
LUSAKA,LUSAKA,189,MAKENI,MUSONDA John M,CF,Big Tree
LUSAKA,LUSAKA,189,MAKENI,MWITUMWA Mollen,IND,Steering wheel
LUSAKA,LUSAKA,189,MAKENI,PHIRI Steven J,IND,Plate
LUSAKA,LUSAKA,189,MAKENI,PHIRI Austin D,NRPUP,A Lamp
LUSAKA,LUSAKA,190,ROMA,BANDA Tobias T,IND,Steering wheel
LUSAKA,LUSAKA,190,ROMA,CHANSA Robert,CF,Big Tree
LUSAKA,LUSAKA,190,ROMA,CHITANGALA Chilando N,RP,An Orange Sack Bag
LUSAKA,LUSAKA,190,ROMA,CHUNGU Zhane M,SP,A Crossed Shovel and Axe
LUSAKA,LUSAKA,190,ROMA,KASIKILI Ross J,UPND,Palm with raised thumb
LUSAKA,LUSAKA,190,ROMA,MULENGA Francis M,IND,Borehole
LUSAKA,LUSAKA,190,ROMA,MWENYA Gilead LC,IND,Candle
LUSAKA,LUSAKA,190,ROMA,TEMBO Sean E,IND,Spoon
LUSAKA,LUSAKA,191,LIMA,KAUNDA Kelvin,NRPUP,A Lamp
LUSAKA,LUSAKA,191,LIMA,MARAMWIDZE Barbra C,SP,A Crossed Shovel and Axe
LUSAKA,LUSAKA,191,LIMA,MUKUPA Lee K,UPND,Palm with raised thumb
LUSAKA,LUSAKA,191,LIMA,SINYANGWE Moffat,ZMP,A Traditional Thatched hat
LUSAKA,RUFUNSA,083,RUFUNSA,GUMBI Dumisani,NRPUP,A Lamp
LUSAKA,RUFUNSA,083,RUFUNSA,JILOWA Francis,SP,A Crossed Shovel and Axe
LUSAKA,RUFUNSA,083,RUFUNSA,MULYATA Sheal S,UPND,Palm with raised thumb
LUSAKA,RUFUNSA,083,RUFUNSA,MUMBA Patson J,IND,Borehole
MUCHINGA,CHINSALI,087,CHINSALI CENTRAL,CHANDA Mwansa,NRPUP,A Lamp
MUCHINGA,CHINSALI,087,CHINSALI CENTRAL,CHOLA Gift B,CF,Big Tree
MUCHINGA,CHINSALI,087,CHINSALI CENTRAL,KANGWA Mubanga P,SP,A Crossed Shovel and Axe
MUCHINGA,CHINSALI,087,CHINSALI CENTRAL,KATONGO Joseph N,RP,An Orange Sack Bag
MUCHINGA,CHINSALI,087,CHINSALI CENTRAL,MULENGA Christopher C,UPND,Palm with raised thumb
MUCHINGA,CHINSALI,192,CHILINDA,CHINTU Vincent,CF,Big Tree
MUCHINGA,CHINSALI,192,CHILINDA,MUKONDO Ian,SP,A Crossed Shovel and Axe
MUCHINGA,CHINSALI,192,CHILINDA,MUKOSA Kalalwe A,NRPUP,A Lamp
MUCHINGA,CHINSALI,192,CHILINDA,MUKUKA Lucy,UPND,Palm with raised thumb
MUCHINGA,CHINSALI,192,CHILINDA,SAMPA Caspian F,IND,Spoon
MUCHINGA,CHINSALI,192,CHILINDA,SINYANGWE Alex,RP,An Orange Sack Bag
MUCHINGA,ISOKA,088,ISOKA,NAKAPONDA Marjorie,UPND,Palm with raised thumb
MUCHINGA,ISOKA,088,ISOKA,SICHONE Malozo,NRPUP,A Lamp
MUCHINGA,ISOKA,088,ISOKA,SIKANYIKA Mathews B,IND,Whistle
MUCHINGA,ISOKA,193,NKOMBWA,KAPILA Gift,NRPUP,A Lamp
MUCHINGA,ISOKA,193,NKOMBWA,SIMBEYE Jairo,UPND,Palm with raised thumb
MUCHINGA,ISOKA,193,NKOMBWA,SIWILA Wisdom,IND,Whistle
MUCHINGA,MAFINGA,089,MAFINGA NORTH,MUGALA Musyani S,IND,Steering wheel
MUCHINGA,MAFINGA,089,MAFINGA NORTH,MUTAMBO Saga J,IND,Cell Battery
MUCHINGA,MAFINGA,089,MAFINGA NORTH,MUTAMBO Owen K,ZMP,A Traditional Thatched hat
MUCHINGA,MAFINGA,089,MAFINGA NORTH,SICHINGA John J,UPND,Palm with raised thumb
MUCHINGA,MAFINGA,089,MAFINGA NORTH,SILOMBA Sastone,IND,Borehole
MUCHINGA,MAFINGA,089,MAFINGA NORTH,SIMUKOKO Jairos J,SP,A Crossed Shovel and Axe
MUCHINGA,MAFINGA,089,MAFINGA NORTH,SIWALE Jacob,NRPUP,A Lamp
MUCHINGA,MAFINGA,195,MAFINGA SOUTH,CHABINGA Robert M,UPND,Palm with raised thumb
MUCHINGA,MAFINGA,195,MAFINGA SOUTH,KAONGA Duncan,NRPUP,A Lamp
MUCHINGA,MAFINGA,195,MAFINGA SOUTH,MUNTHALI Esinai,RP,An Orange Sack Bag
MUCHINGA,MAFINGA,195,MAFINGA SOUTH,MUNTHALI Faith,CF,Big Tree
MUCHINGA,MPIKA,092,MPIKA NORTH,CHIBALE Benard,CF,Big Tree
MUCHINGA,MPIKA,092,MPIKA NORTH,KAPYANGA Francis R,NRPUP,A Lamp
MUCHINGA,MPIKA,092,MPIKA NORTH,SATA Chilufya C,IND,Traditional Drum
MUCHINGA,MPIKA,092,MPIKA NORTH,SICHALWE Mordecai,UPND,Palm with raised thumb
MUCHINGA,MPIKA,196,MPIKA SOUTH,CHANDA Primose C,NRPUP,A Lamp
MUCHINGA,MPIKA,196,MPIKA SOUTH,CHILAMBE Kennedy,UPND,Palm with raised thumb
MUCHINGA,MPIKA,196,MPIKA SOUTH,CHILESHE Fredrick,CF,Big Tree
MUCHINGA,NAKONDE,093,NAKONDE,KANYANYA Michael S,NRPUP,A Lamp
MUCHINGA,NAKONDE,093,NAKONDE,SIMWANZA Simon P,UPND,Palm with raised thumb
MUCHINGA,NAKONDE,093,NAKONDE,SIWANZI Yizukanji,CF,Big Tree
MUCHINGA,NAKONDE,197,MWENZO,SIAME Musingwa N,UPND,Palm with raised thumb
MUCHINGA,NAKONDE,197,MWENZO,SIMUMBA Luka,NRPUP,A Lamp
MUCHINGA,SHIWAN'GANDU,094,SHIWAN'GANDU,KALUBA Martin T,CF,Big Tree
MUCHINGA,SHIWAN'GANDU,094,SHIWAN'GANDU,KAMPYONGO Stephen,NRPUP,A Lamp
MUCHINGA,SHIWAN'GANDU,094,SHIWAN'GANDU,KAPEYA Robert,UPND,Palm with raised thumb
MUCHINGA,SHIWAN'GANDU,094,SHIWAN'GANDU,MUMBI Evans,IND,Spoon
MUCHINGA,SHIWAN'GANDU,094,SHIWAN'GANDU,MUTALE Stephen,IND,Candle
MUCHINGA,KANCHIBIYA,090,KANCHIBIYA,CHANDA Sunday C,UPND,Palm with raised thumb
MUCHINGA,KANCHIBIYA,090,KANCHIBIYA,CHOLA John,UPPZ,"A graduation cap, cabbage and two ca..."
MUCHINGA,KANCHIBIYA,090,KANCHIBIYA,MALAMA Henry,CF,Big Tree
MUCHINGA,KANCHIBIYA,090,KANCHIBIYA,MUSWEMA Sampa,NRPUP,A Lamp
MUCHINGA,KANCHIBIYA,090,KANCHIBIYA,MWELWA Benjamin,IND,Whistle
MUCHINGA,KANCHIBIYA,194,LWITIKILA,KAMBE Joan M,UPND,Palm with raised thumb
MUCHINGA,KANCHIBIYA,194,LWITIKILA,KANYANYAMINA Kanungwe C,NRPUP,A Lamp
MUCHINGA,KANCHIBIYA,194,LWITIKILA,MALAMA Smart,CF,Big Tree
MUCHINGA,KANCHIBIYA,194,LWITIKILA,MUBANGA Elias,IND,Plate
MUCHINGA,KANCHIBIYA,194,LWITIKILA,MUMA Raphael,IND,Traditional Drum
MUCHINGA,KANCHIBIYA,194,LWITIKILA,MUMBA Laston,IND,Borehole
MUCHINGA,LAVUSHIMANDA,091,MFUWE,CHILUFYA Webby,IND,Whistle
MUCHINGA,LAVUSHIMANDA,091,MFUWE,CHIPASHA Peter,IND,Radio
MUCHINGA,LAVUSHIMANDA,091,MFUWE,KUNDA Brian K,OPP,Gift Box
MUCHINGA,LAVUSHIMANDA,091,MFUWE,MALAMA Mufunelo,UPND,Palm with raised thumb
MUCHINGA,LAVUSHIMANDA,091,MFUWE,MUMBI Nicholas,NRPUP,A Lamp
MUCHINGA,LAVUSHIMANDA,091,MFUWE,NG'UNI Newton I,IND,Steering wheel
NORTHERN,CHILUBI,095,CHILUBI,CHIMBINI Rosemary S,IND,Borehole
NORTHERN,CHILUBI,095,CHILUBI,CHISALA Obious C,CDP,Red Breasted Bream Fish
NORTHERN,CHILUBI,095,CHILUBI,CHITEMBO Mathias,UPND,Palm with raised thumb
NORTHERN,CHILUBI,095,CHILUBI,FUBE Mulenga F,NRPUP,A Lamp
NORTHERN,CHILUBI,095,CHILUBI,KALASA Christabel,IND,Television (TV)
NORTHERN,CHILUBI,095,CHILUBI,MUWA Simon M,CF,Big Tree
NORTHERN,CHILUBI,095,CHILUBI,MWABA Daniel M,IND,Slasher
NORTHERN,CHILUBI,095,CHILUBI,MWILA Gilbert C,SP,A Crossed Shovel and Axe
NORTHERN,KAPUTA,096,KAPUTA,CHIPILI Gilbert,NRPUP,A Lamp
NORTHERN,KAPUTA,096,KAPUTA,NKANDU Elvis C,UPND,Palm with raised thumb
NORTHERN,KAPUTA,198,KUNDABWIKA,CHIKONDE Tresford,NRPUP,A Lamp
NORTHERN,KAPUTA,198,KUNDABWIKA,NG'ONGA Maxas K,UPND,Palm with raised thumb
NORTHERN,KASAMA,097,KASAMA CENTRAL,CHITUNDU Charles,IND,Traditional Drum
NORTHERN,KASAMA,097,KASAMA CENTRAL,CHOMBA Elasmous C,NRPUP,A Lamp
NORTHERN,KASAMA,097,KASAMA CENTRAL,MBEWE Thandizani,RP,An Orange Sack Bag
NORTHERN,KASAMA,097,KASAMA CENTRAL,MPUNDU Bernard,UPND,Palm with raised thumb
NORTHERN,KASAMA,097,KASAMA CENTRAL,MWAPE Keegan,IND,Borehole
NORTHERN,KASAMA,097,KASAMA CENTRAL,NG'AMBI Sunday C,IND,Whistle
NORTHERN,KASAMA,097,KASAMA CENTRAL,PIKITI Margaret K,SP,A Crossed Shovel and Axe
NORTHERN,KASAMA,097,KASAMA CENTRAL,SINSUNGA Christopher,IND,Steering wheel
NORTHERN,KASAMA,098,LUKASHYA,BWALYA Daniel,NRPUP,A Lamp
NORTHERN,KASAMA,098,LUKASHYA,BWALYA Frank,RP,An Orange Sack Bag
NORTHERN,KASAMA,098,LUKASHYA,BWEUPE Geoffrey,IND,Violin
NORTHERN,KASAMA,098,LUKASHYA,KATONGO Evol,UPND,Palm with raised thumb
NORTHERN,KASAMA,098,LUKASHYA,MPANDAMWIKE Andrew,CF,Big Tree
NORTHERN,KASAMA,098,LUKASHYA,MULENGA Morton,IND,Whistle
NORTHERN,KASAMA,098,LUKASHYA,MULENGA Howard,IND,Candle
NORTHERN,KASAMA,098,LUKASHYA,MUSELELA Chongo S,IND,Steering wheel
NORTHERN,KASAMA,199,KASAMA NORTH,CHILUMBA Eric K,UPPZ,"A graduation cap, cabbage and two ca..."
NORTHERN,KASAMA,199,KASAMA NORTH,MUSONDA Stanley C,LM,The Waves
NORTHERN,KASAMA,199,KASAMA NORTH,MUTALE Justin,NRPUP,A Lamp
NORTHERN,KASAMA,199,KASAMA NORTH,MWAMBA Sibongile,UPND,Palm with raised thumb
NORTHERN,KASAMA,199,KASAMA NORTH,NKUMBULA Lawrence,CF,Big Tree
NORTHERN,KASAMA,199,KASAMA NORTH,TETAMASHIMBA Isidore,RP,An Orange Sack Bag
NORTHERN,LUWINGU,099,LUBANSENSHI,CHEWE Kabwe T,UPND,Palm with raised thumb
NORTHERN,LUWINGU,099,LUBANSENSHI,KOLALA Innocent M,IND,Traditional Drum
NORTHERN,LUWINGU,099,LUBANSENSHI,MWAMBA George K,NRPUP,A Lamp
NORTHERN,LUWINGU,200,LUWINGU CENTRAL,CHONGO Kamfwa R,IND,Plate
NORTHERN,LUWINGU,200,LUWINGU CENTRAL,MUCHELEKA Patrick M,UPND,Palm with raised thumb
NORTHERN,LUWINGU,200,LUWINGU CENTRAL,MUSONDA Emmanuel,CF,Big Tree
NORTHERN,LUWINGU,200,LUWINGU CENTRAL,MWAMBA Mutolo,NRPUP,A Lamp
NORTHERN,LUWINGU,200,LUWINGU CENTRAL,MWANSA Abraham,IND,Steering wheel
NORTHERN,MBALA,101,MBALA CENTRAL,CHILUFYA Raphael,NRPUP,A Lamp
NORTHERN,MBALA,101,MBALA CENTRAL,MULENGA Alphonsal,CF,Big Tree
NORTHERN,MBALA,101,MBALA CENTRAL,MULWANDA Remmy M,SP,A Crossed Shovel and Axe
NORTHERN,MBALA,101,MBALA CENTRAL,NAMONGA Annie M,UPND,Palm with raised thumb
NORTHERN,MBALA,201,SAISE,PENZA Phillip S,PEP,A united family standing on the globe
NORTHERN,MBALA,201,SAISE,SIAME George C,IND,Borehole
NORTHERN,MBALA,201,SAISE,SIKAZWE Remmy,UPND,Palm with raised thumb
NORTHERN,MBALA,201,SAISE,SIKOMBE Kedrick,CF,Big Tree
NORTHERN,MBALA,201,SAISE,SINKALA Nathan,NRPUP,A Lamp
NORTHERN,MBALA,201,SAISE,WITOLA Peter S,SP,A Crossed Shovel and Axe
NORTHERN,MPOROKOSO,104,MPOROKOSO,CHILESHE Mutale,IND,Window
NORTHERN,MPOROKOSO,104,MPOROKOSO,CHILESHE Wedden,UPND,Palm with raised thumb
NORTHERN,MPOROKOSO,104,MPOROKOSO,CHITUNDU Bridget,NRPUP,A Lamp
NORTHERN,MPOROKOSO,104,MPOROKOSO,KAPUTO Aaron,LM,The Waves
NORTHERN,MPOROKOSO,104,MPOROKOSO,MBEYE Simon,SP,A Crossed Shovel and Axe
NORTHERN,MPOROKOSO,104,MPOROKOSO,MUSONDA Winfridah,CF,Big Tree
NORTHERN,MPOROKOSO,104,MPOROKOSO,NKOLE Nick M,IND,Borehole
NORTHERN,MPULUNGU,105,MPULUNGU NORTH,KALUMBA Jobbicks,UPND,Palm with raised thumb
NORTHERN,MPULUNGU,105,MPULUNGU NORTH,PENDE Martin K,IND,Steering wheel
NORTHERN,MPULUNGU,105,MPULUNGU NORTH,SIKAZWE Freedom C,NRPUP,A Lamp
NORTHERN,MPULUNGU,202,MPULUNGU SOUTH,CHIZU Lewis S,CF,Big Tree
NORTHERN,MPULUNGU,202,MPULUNGU SOUTH,CHIZU Njenje K,UPND,Palm with raised thumb
NORTHERN,MPULUNGU,202,MPULUNGU SOUTH,MBAO Leonard,IND,Steering wheel
NORTHERN,MPULUNGU,202,MPULUNGU SOUTH,MUTALE Teddy,NRPUP,A Lamp
NORTHERN,MUNGWI,106,MALOLE,BWATO Vernon B,IND,Spoon
NORTHERN,MUNGWI,106,MALOLE,CHISANGA Grace C,IND,Borehole
NORTHERN,MUNGWI,106,MALOLE,CHOMBA Lawrence,IND,Radio
NORTHERN,MUNGWI,106,MALOLE,MUSONDA Syvano,NRPUP,A Lamp
NORTHERN,MUNGWI,106,MALOLE,MUTALE Stella K,UPND,Palm with raised thumb
NORTHERN,MUNGWI,106,MALOLE,MWENGE Lawrence,SP,A Crossed Shovel and Axe
NORTHERN,MUNGWI,106,MALOLE,NCHINTWA Moses,ZMP,A Traditional Thatched hat
NORTHERN,MUNGWI,203,MPANDA,BULAYA Phillip,UPND,Palm with raised thumb
NORTHERN,MUNGWI,203,MPANDA,LWEMBE Gift,IND,Radio
NORTHERN,MUNGWI,203,MPANDA,MUNAILE Emmanuel M,CF,Big Tree
NORTHERN,MUNGWI,203,MPANDA,MUSONDA David M,ZMP,A Traditional Thatched hat
NORTHERN,MUNGWI,203,MPANDA,MWILA Francis,SP,A Crossed Shovel and Axe
NORTHERN,MUNGWI,203,MPANDA,NDOLESHA Patrick,NRPUP,A Lamp
NORTHERN,NSAMA,107,CHIMBAMILONGA,CHILINGALA Panji,SP,A Crossed Shovel and Axe
NORTHERN,NSAMA,107,CHIMBAMILONGA,CHIPILI Titus M,NRPUP,A Lamp
NORTHERN,NSAMA,107,CHIMBAMILONGA,PASUWA Moses,UPND,Palm with raised thumb
NORTHERN,SENGA HILL,102,SENGA HILL,CHILA Derrick,IND,Scissors
NORTHERN,SENGA HILL,102,SENGA HILL,LUNGU Matildah,SP,A Crossed Shovel and Axe
NORTHERN,SENGA HILL,102,SENGA HILL,MULENGA Safeli,UPND,Palm with raised thumb
NORTHERN,SENGA HILL,102,SENGA HILL,NSOKOLO Bentry,NRPUP,A Lamp
NORTHERN,SENGA HILL,102,SENGA HILL,SICHULA Mukwavi C,IND,Borehole
NORTHERN,SENGA HILL,102,SENGA HILL,SIKAZWE Henry,IND,Spoon
NORTHERN,LUNTE,103,LUNTE,CHASAYA Katongo,UPND,Palm with raised thumb
NORTHERN,LUNTE,103,LUNTE,CHILANDO Joseph M,IND,Radio
NORTHERN,LUNTE,103,LUNTE,CHIPOMA Cornelius,IND,Borehole
NORTHERN,LUNTE,103,LUNTE,CHONGO Justine,IND,Spoon
NORTHERN,LUNTE,103,LUNTE,SIMBAO Kennedy,NRPUP,A Lamp
NORTHERN,LUPOSOSHI,100,LUPOSOSHI,BWALYA Benson F,IND,Steering wheel
NORTHERN,LUPOSOSHI,100,LUPOSOSHI,BWALYA Lazarous C,NRPUP,A Lamp
NORTHERN,LUPOSOSHI,100,LUPOSOSHI,LUNKOTO Paul B,SP,A Crossed Shovel and Axe
NORTHERN,LUPOSOSHI,100,LUPOSOSHI,MPUNDU Romano,IND,Bed
NORTHERN,LUPOSOSHI,100,LUPOSOSHI,MPUNDU Reagan,IND,Traditional Drum
NORTHERN,LUPOSOSHI,100,LUPOSOSHI,MULENGA Bornface P,IND,Plate
NORTHERN,LUPOSOSHI,100,LUPOSOSHI,MWANSA Shadreck,UPND,Palm with raised thumb
NORTHERN,LUPOSOSHI,100,LUPOSOSHI,MWANSA Rachael M,CF,Big Tree
NORTH-WESTERN,CHAVUMA,108,CHAVUMA,CHOZA Oscar,NRPUP,A Lamp
NORTH-WESTERN,CHAVUMA,108,CHAVUMA,FWOLOSHI Fredrick,IND,Slasher
NORTH-WESTERN,CHAVUMA,108,CHAVUMA,LUMAYI Victor,UPND,Palm with raised thumb
NORTH-WESTERN,CHAVUMA,108,CHAVUMA,SONDOYI Martin L,NCP,Chair
NORTH-WESTERN,IKELENGE,109,IKELENG'I,FISHER Peter H,IND,Traditional Drum
NORTH-WESTERN,IKELENGE,109,IKELENG'I,KAFWAFWA Rhodwell,IND,Bed
NORTH-WESTERN,IKELENGE,109,IKELENG'I,KANYANDA Friday,SP,A Crossed Shovel and Axe
NORTH-WESTERN,IKELENGE,109,IKELENG'I,KAWANGU Abiud,NRPUP,A Lamp
NORTH-WESTERN,IKELENGE,109,IKELENG'I,KAYEKESI Victor,IND,Plate
NORTH-WESTERN,IKELENGE,109,IKELENG'I,MASUWA Paul,UPND,Palm with raised thumb
NORTH-WESTERN,KABOMPO,110,KABOMPO EAST,LUFUMA Ambrose,UPND,Palm with raised thumb
NORTH-WESTERN,KABOMPO,110,KABOMPO EAST,MBOWELA Richard,IND,Borehole
NORTH-WESTERN,KABOMPO,204,KABOMPO WEST,CHIPANGO Hillary,UPND,Palm with raised thumb
NORTH-WESTERN,KABOMPO,204,KABOMPO WEST,KALENGA Daniel,IND,Radio
NORTH-WESTERN,KABOMPO,204,KABOMPO WEST,KAPIMPA Shilota,IND,Borehole
NORTH-WESTERN,KABOMPO,204,KABOMPO WEST,SAMUNDENGO Beatrice,IND,Spoon
NORTH-WESTERN,KASEMPA,111,KASEMPA,KAMENGA Howard,IND,Window
NORTH-WESTERN,KASEMPA,111,KASEMPA,KASITOKA Elijah M,UPPZ,"A graduation cap, cabbage and two ca..."
NORTH-WESTERN,KASEMPA,111,KASEMPA,MAFULETI Chinyemba,IND,Slasher
NORTH-WESTERN,KASEMPA,111,KASEMPA,MASUMBA Peter,IND,Candle
NORTH-WESTERN,KASEMPA,111,KASEMPA,MUKATUKA Binwel,IND,Borehole
NORTH-WESTERN,KASEMPA,111,KASEMPA,NGALANDE Isaac,CF,Big Tree
NORTH-WESTERN,KASEMPA,111,KASEMPA,TAMBATAMBA Brenda M,UPND,Palm with raised thumb
NORTH-WESTERN,KASEMPA,206,MUFWASHI,CHANDAMALI Phelosopher T,NRPUP,A Lamp
NORTH-WESTERN,KASEMPA,206,MUFWASHI,KAKONKANYA Brian,UPND,Palm with raised thumb
NORTH-WESTERN,KASEMPA,206,MUFWASHI,MULOFWA Tradeson T,IND,Borehole
NORTH-WESTERN,MANYINGA,112,MANYINGA,CHINGIMBU Danny,IND,Slasher
NORTH-WESTERN,MANYINGA,112,MANYINGA,KANYAMA Kevin,NRPUP,A Lamp
NORTH-WESTERN,MANYINGA,112,MANYINGA,LIHEFU Robert,UPND,Palm with raised thumb
NORTH-WESTERN,MANYINGA,112,MANYINGA,SAKUWAHA Henry,IND,Steering wheel
NORTH-WESTERN,MUFUMBWE,113,MUFUMBWE,KAMONDO Eliot,UPND,Palm with raised thumb
NORTH-WESTERN,MUFUMBWE,113,MUFUMBWE,KAWEZA Brian,CF,Big Tree
NORTH-WESTERN,MUFUMBWE,113,MUFUMBWE,KIZELA Fumpa,IND,Borehole
NORTH-WESTERN,MUFUMBWE,113,MUFUMBWE,LUNYENZE Jonas,NRPUP,A Lamp
NORTH-WESTERN,MUFUMBWE,113,MUFUMBWE,MUZUNGU Nshamba M,IND,Traditional Drum
NORTH-WESTERN,MUFUMBWE,113,MUFUMBWE,SAUKA Khayi,IND,Whistle
NORTH-WESTERN,MUFUMBWE,207,DONGWE,MASIYE Lemmy N,IND,Borehole
NORTH-WESTERN,MUFUMBWE,207,DONGWE,MBALAU Davies,UPND,Palm with raised thumb
NORTH-WESTERN,MWINILUNGA,114,MWINILUNGA WEST,KAMALATA Robert K,IND,Plate
NORTH-WESTERN,MWINILUNGA,114,MWINILUNGA WEST,KAPAIPI Jonathan,UPND,Palm with raised thumb
NORTH-WESTERN,MWINILUNGA,208,MWINILUNGA EAST,KAYUKA Naomi,NRPUP,A Lamp
NORTH-WESTERN,MWINILUNGA,208,MWINILUNGA EAST,MUKANZU Lualaba J,UPND,Palm with raised thumb
NORTH-WESTERN,MWINILUNGA,208,MWINILUNGA EAST,MUKANZU Suzen,IND,Plate
NORTH-WESTERN,MWINILUNGA,208,MWINILUNGA EAST,MUZALIWA Davies,IND,Slasher
NORTH-WESTERN,SOLWEZI,115,SOLWEZI CENTRAL,KANEMA Bruce,UPND,Palm with raised thumb
NORTH-WESTERN,SOLWEZI,115,SOLWEZI CENTRAL,KAVULA Rodgers,IND,Candle
NORTH-WESTERN,SOLWEZI,115,SOLWEZI CENTRAL,LIKASHI David,IND,Steering wheel
NORTH-WESTERN,SOLWEZI,115,SOLWEZI CENTRAL,LUKAMATA Andrew,NRPUP,A Lamp
NORTH-WESTERN,SOLWEZI,115,SOLWEZI CENTRAL,POHO Kawina P,IND,Borehole
NORTH-WESTERN,SOLWEZI,209,SOLWEZI NORTH,KAFWAYA Dawson,IND,Plate
NORTH-WESTERN,SOLWEZI,209,SOLWEZI NORTH,KASONSO Tapson,IND,Slasher
NORTH-WESTERN,SOLWEZI,209,SOLWEZI NORTH,KATOLO Enock D,IND,Candle
NORTH-WESTERN,SOLWEZI,209,SOLWEZI NORTH,KYEMBE Mapesho,IND,Borehole
NORTH-WESTERN,SOLWEZI,209,SOLWEZI NORTH,MULUSA Timothy M,NRPUP,A Lamp
NORTH-WESTERN,SOLWEZI,209,SOLWEZI NORTH,MULUSA Stafford,UPND,Palm with raised thumb
NORTH-WESTERN,ZAMBEZI,118,ZAMBEZI EAST,KAMBITA David K,SP,A Crossed Shovel and Axe
NORTH-WESTERN,ZAMBEZI,118,ZAMBEZI EAST,KAMBITA Brian,UPND,Palm with raised thumb
NORTH-WESTERN,ZAMBEZI,118,ZAMBEZI EAST,MWENDELEMA Jonathan L,IND,Borehole
NORTH-WESTERN,ZAMBEZI,119,ZAMBEZI WEST,MUSUMALI Vumango P,UPND,Palm with raised thumb
NORTH-WESTERN,ZAMBEZI,210,ZAMBEZI CENTRAL,MANO Dennis K,UPND,Palm with raised thumb
NORTH-WESTERN,ZAMBEZI,210,ZAMBEZI CENTRAL,NGIMBU Rapheal K,IND,Spoon
NORTH-WESTERN,KALUMBILA,117,KALUMBILA,KAKWATA Olix,IND,Slasher
NORTH-WESTERN,KALUMBILA,117,KALUMBILA,MAPULANGA Mavis M,IND,Steering wheel
NORTH-WESTERN,KALUMBILA,117,KALUMBILA,MUKUMBI Nicholas M,UPND,Palm with raised thumb
NORTH-WESTERN,KALUMBILA,205,LUMWANA,MASHIMANGO Mathews,UPND,Palm with raised thumb
NORTH-WESTERN,KALUMBILA,205,LUMWANA,SHEMENA Logan,IND,Borehole
NORTH-WESTERN,MUSHINDAMO,116,MUSHINDAMO,ILUNGA Peter,IND,Steering wheel
NORTH-WESTERN,MUSHINDAMO,116,MUSHINDAMO,KATAKWE Alex,UPND,Palm with raised thumb
NORTH-WESTERN,MUSHINDAMO,116,MUSHINDAMO,KAYUKWA Ruth C,NRPUP,A Lamp
NORTH-WESTERN,MUSHINDAMO,116,MUSHINDAMO,NDELUFU Elias,SP,A Crossed Shovel and Axe
SOUTHERN,ITEZHI-TEZHI,005,ITEZHI-TEZHI EAST,NABUZOKA Austen,IND,Borehole
SOUTHERN,ITEZHI-TEZHI,005,ITEZHI-TEZHI EAST,NANJUWA Credo,UPND,Palm with raised thumb
SOUTHERN,ITEZHI-TEZHI,005,ITEZHI-TEZHI EAST,SITALI Davies M,IND,Traditional Drum
SOUTHERN,ITEZHI-TEZHI,212,ITEZHI-TEZHI WEST,MUTINTA Twaambo E,UPND,Palm with raised thumb
SOUTHERN,ITEZHI-TEZHI,212,ITEZHI-TEZHI WEST,SHANDUBA Cavis M,IND,Borehole
SOUTHERN,CHIRUNDU,072,CHIRUNDU,MUCHINDU Nevers M,UPND,Palm with raised thumb
SOUTHERN,CHIRUNDU,072,CHIRUNDU,MWANJA James K,IND,Borehole
SOUTHERN,CHIRUNDU,072,CHIRUNDU,MWAPE Lucky M,RP,An Orange Sack Bag
SOUTHERN,CHIKANKATA,120,CHIKANKATA,CHIYOBA Malcom,IND,Borehole
SOUTHERN,CHIKANKATA,120,CHIKANKATA,GUJA Jeff,IND,Plate
SOUTHERN,CHIKANKATA,120,CHIKANKATA,SABAO Jaqueline,UPND,Palm with raised thumb
SOUTHERN,CHOMA,121,CHOMA CENTRAL,CHAKWANA Baker I,IND,Spoon
SOUTHERN,CHOMA,121,CHOMA CENTRAL,MWEETWA Conellius,UPND,Palm with raised thumb
SOUTHERN,CHOMA,121,CHOMA CENTRAL,NZOOLO Rodwell S,IND,Whistle
SOUTHERN,CHOMA,122,MBABALA,MUNSANJE Joseph S,UPND,Palm with raised thumb
SOUTHERN,CHOMA,122,MBABALA,NDAMBO Evelyn M,EPPP,Rabbit
SOUTHERN,CHOMA,211,CHOMA SOUTH,MWIINDE Trevor S,UPND,Palm with raised thumb
SOUTHERN,GWEMBE,123,GWEMBE,NTUUNDU Macloudine M,IND,Borehole
SOUTHERN,GWEMBE,123,GWEMBE,SIMUZINGILI Tyson,UPND,Palm with raised thumb
