Polling District Polling Station Male Female % Male % Female Voters
Province: 6 MUCHINGA 0
District 002 CHINSALI
Constituency 87 CHINSALI CENTRAL
Ward : 000106002010 , LUBU
Totals for Ward : Polling Districts : 5 1,879 2,082 47.44 52.56 3,961
Totals for Constituency : CHINSALI CENTRAL 57 18,605 19,534 38,139
Constituency 192 CHILINDA
Ward : 000106002001 , ITAPA
106002000101 MBESUMA - 1 Catholic Church-01 295 330 47.20 52.80 625
106002000201 MULENGA ADAM - 1 Mulenga Adam Primary School-01 341 407 45.59 54.41 748
106002000301 KAMBWI - 1 Kambwi Community School-01 312 349 47.20 52.80 661
106002000401 KALELA - 1 Kalela Primary School-01 275 312 46.85 53.15 587
106002000402 KALELA - 2 Kalela Primary School-02 244 343 41.57 58.43 587
106002000501 KAKONGOLA - 1 Kakongola Village (Tent)-01 123 151 44.89 55.11 274
Totals for Ward : Polling Districts : 6 1,590 1,892 45.66 54.34 3,482
Ward : 000106002002 , CHUNGA
106002000601 SHIMUINDA - 1 Shimuinda Community School-01 233 283 45.16 54.84 516
106002000701 BWINAMBO - 1 Bwinambo Primary School-01 294 331 47.04 52.96 625
106002000801 CHUNGA - 1 Chunga Primary School-01 383 374 50.59 49.41 757
106002000901 PULWILA - 1 Pulwila Primary School-01 168 174 49.12 50.88 342
106002001001 KALUKA - 1 Kaluka Community School-01 144 153 48.48 51.52 297
Totals for Ward : Polling Districts : 5 1,222 1,315 48.17 51.83 2,537
Ward : 000106002003 , CHILUNDA
106002001101 MUZAMANZI - 1 Muzamanzi Primary School-01 224 239 48.38 51.62 463
106002001201 KAKOMBE - 1 Kakombe Community School-01 119 140 45.95 54.05 259
106002001301 CHILUNDA - 1 Chilunda Primary School-01 314 342 47.87 52.13 656
213
Polling District Polling Station Male Female % Male % Female Voters
106002001401 NG'UMBO - 1 Ng'umbo Primary School-01 157 170 48.01 51.99 327
106002001501 CHITETE - 1 Chitete Primary School-01 192 234 45.07 54.93 426
Totals for Ward : Polling Districts : 5 1,006 1,125 47.21 52.79 2,131
Ward : 000106002004 , CHILINDA
106002001601 KASO - 1 Kaso Primary School-01 259 273 48.68 51.32 532
