WESTERN PROVINCE — HIERARCHICAL VOTER LIST
===========================================
Format: Level | Name | Total Voters
===========================================

PROVINCE: WESTERN

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
    Ward 010: KAKULUNDA         | [*]
    Ward 011: MUMBUMBU          | 1,334
    Ward 012: MUYONDOTI         | 1,379
    Ward 013: NYAALA            | 1,462
    [* Ward 010 total not extractable from source]

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
DISTRICT 007: MONGU | 70,118
━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━

  CONSTITUENCY 146: MONGU CENTRAL | 53,409
    Ward 001: MULAMBWA          | 4,216
    Ward 002: KATONGO           | 5,138
    Ward 003: YETA              | 2,141
    Ward 004: NAMUSHEKENDE      | 1,977
    Ward 005: NAMASHO           | 1,028
    Ward 006: KAMA              | 1,707
    Ward 007: LUMBO             | 2,211
    Ward 008: LEALUI LOWER      | 2,858
    Ward 009: MABUMBU           | 1,320
    Ward 010: LEALUI UPPER      | 3,681
    Ward 011: KANYONYO          | 5,976
    Ward 012: LEWANIKA          | 2,859
    Ward 013: IMWIKO            | 6,302
    Ward 014: KAMBULE           | 5,395
    Ward 015: ILUTE             | 4,252
    Ward 016: KAANDE            | 2,348

  CONSTITUENCY 147: NALIKWANDA | 16,709
    Ward 017: NAKATO            | 1,501
    Ward 018: LOOMA             | 1,356
    Ward 019: NALWEI            | 2,046
    Ward 020: SIYOWE            | 2,059
    Ward 021: LUKALANYA         |   926
    Ward 022: IMALYO            | 1,225
    Ward 023: MUTONDO           | 1,485
    Ward 024: NAMENGO           | 1,369
    Ward 025: LITAWA            | 1,211
    Ward 026: NAKANYAA          | 1,823
    Ward 027: MBEKISE           | 1,708

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
DISTRICT 008: MULOBEZI | 14,733
