Level	Name	Total Registered Voters
WARD	CHIKOBO	5 687
POLLING STATION	Kasukwe UCZ Church-01	500
POLLING STATION	Kasukwe UCZ Church-02	500
POLLING STATION	Nachiyaba Primary School-01	526
POLLING STATION	Nachiyaba Primary School-02	526
POLLING STATION	Shapande Primary School-01	922
POLLING STATION	Shimbilo Primary School-01	687
POLLING STATION	Liteta Local Court-01	666
POLLING STATION	Liteta Local Court-02	665
POLLING STATION	Chipako Primary School-01	695
WARD	KAKOMA	6 293
POLLING STATION	Chabona Primary School-01	505
POLLING STATION	Chabona Primary School-02	504
POLLING STATION	Shimukuni Primary School-01	908
POLLING STATION	Shimukuni Primary School-02	908
POLLING STATION	Mufwambe Primary School-01	554
POLLING STATION	Mulabo Primary School-01	655
POLLING STATION	Mubimba Primary School-01	809
POLLING STATION	Shinkomba Community School-01	758
POLLING STATION	Mwanje Community School-01	692
WARD	MASHIKILI	7 496
POLLING STATION	Nanswisa Primary School-01	969
POLLING STATION	Kafululu Primary School-01	676
POLLING STATION	Kafululu Primary School-02	676
POLLING STATION	Kafululu Primary School-03	675
POLLING STATION	Muleyabeso Community School-01	686
POLLING STATION	Mashikili Primary School-01	802
POLLING STATION	Mashikili Primary School-02	801
POLLING STATION	Keembe Primary School-01	507
POLLING STATION	Keembe Primary School-02	506
POLLING STATION	Chititi Primary School-01	599
POLLING STATION	Chititi Primary School-02	599
WARD	MALAMBANYAMA	5 220
POLLING STATION	Kafushi High School-01	506
POLLING STATION	Kafushi High School-02	506
POLLING STATION	Malambanyama Primary School-01	688
POLLING STATION	Malambanyama Primary School-02	687
POLLING STATION	Nchename Primary School-01	483
POLLING STATION	Kalutyanka Community School-01	593
POLLING STATION	Namakolongo Primary School-01	810
POLLING STATION	Chitebulu Primary School-01	947
CONSTITUENCY	KEEMBE WEST	17 456
WARD	LUNJOFWA	3 738
POLLING STATION	Kalobelo Primary School-01	491
POLLING STATION	Kabanje Primary School-01	622
POLLING STATION	Kamishishi Primary School-01	738
POLLING STATION	Lunjofwa Primary School-01	572
POLLING STATION	Lunjofwa Primary School-02	571
POLLING STATION	Chitulu Primary School-01	744
WARD	CHITANDA	5 289
POLLING STATION	Kayonje Community School-01	631
POLLING STATION	Makoka Primary School-01	442
POLLING STATION	Chipili Primary School-01	689
POLLING STATION	Lubundi Primary School-01	575
POLLING STATION	Kalebuka Primary School-01	950
POLLING STATION	Chiyuni Primary School-01	668
POLLING STATION	Chiyuni Primary School-02	667
POLLING STATION	Chiyuni Primary School-03	667
WARD	MUUNDU	3 808
POLLING STATION	Mukunkwa Community School-01	401
POLLING STATION	Muundu Primary School-01	658
POLLING STATION	Muundu Primary School-02	658
POLLING STATION	Kelilimwandwe Primary School-01	477
POLLING STATION	Mukashichimbwe Primary School-01	885
POLLING STATION	Kantupu Primary School-01	729
WARD	IPONGO	2 770
POLLING STATION	Nyamfula Community School-01	816
POLLING STATION	Buumba Community School-01	376
POLLING STATION	Ipongo Primary School-01	625
POLLING STATION	Ipongo Primary School-02	624
POLLING STATION	Nkala Community School-01	329
WARD	ITUMBWE	1 851
POLLING STATION	Moongo Catholic Church-01	354
POLLING STATION	Manwankalamu Primary School-01	456
POLLING STATION	Mushingashi Primary School-01	521
POLLING STATION	Mushingashi Primary School-02	520
